title,image_file,true_labels,description,labels_list,oversample_factor,category
Bear crawl up-down,Bear_crawl_updown.jpg,Bear crawl updown,The bear crawl up-down is a variation of the bear crawl that involves lowering the forearms to the ground in an alternating rhythm while in a static bear crawl hold. It adds an extra coordination and upper-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['Bear crawl updown'],2,endurance_training
Wall mountain climber,Wall_mountain_climber.jpg,Wall mountain climber,The wall mountain climber is a challenging exercise targeting the shoulders and abdominals. It's most common in bodyweight circuit training because it targets a lot of muscles as well as the cardiovascular system all at once. It can be performed for time or reps.,['Wall mountain climber'],2,endurance_training
Cardio StairMaster Machine,Cardio_StairMaster_Machine.jpg,Cardio StairMaster Machine,StairMaster provides a great cardio workout while also strengthening the main muscle groups in the lower body you're really getting two workouts in the time it takes to do one. As a result it will take you less time to see and feel the results of your new exercise routineStairMaster provides a great cardio workout while also strengthening the main muscle groups in the lower body you're really getting two workouts in the time it takes to do one. As a result it will take you less time to see and feel the results of your new exercise routine.,['Cardio StairMaster Machine'],2,strength_training
Plank reach,Plank_reach.jpg,Plank reach,The plank reach is an exercise targeting the entire core,['Plank reach'],2,muscle_gain
Single-leg lying cross-over stretch,Singleleg_lying_crossover_stretch.jpg,Singleleg lying crossover stretch,The single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back,['Singleleg lying crossover stretch'],2,flexibility_mobility
Cardio StairMaster Machine,Cardio_StairMaster_Machine.jpg,Cardio StairMaster Machine,StairMaster provides a great cardio workout while also strengthening the main muscle groups in the lower body you're really getting two workouts in the time it takes to do one. As a result it will take you less time to see and feel the results of your new exercise routineStairMaster provides a great cardio workout while also strengthening the main muscle groups in the lower body you're really getting two workouts in the time it takes to do one. As a result it will take you less time to see and feel the results of your new exercise routine.,['Cardio StairMaster Machine'],2,strength_training
Single-leg lying cross-over stretch,Singleleg_lying_crossover_stretch.jpg,Singleleg lying crossover stretch,The single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back,['Singleleg lying crossover stretch'],2,flexibility_mobility
Suspended ab fall-out,Suspended_ab_fallout.jpg,Suspended ab fallout,The suspended ab fall-out is a dynamic abdominal exercise utilizing a suspension strap system or gymnastic rings. It is similar in form to an ab roller,['Suspended ab fallout'],2,muscle_gain
Close-grip EZ-bar curl,Closegrip_EZbar_curl.jpg,Closegrip EZbar curl,The close-grip EZ-bar curl is an exercise targeting the biceps,['Closegrip EZbar curl'],2,muscle_gain
Dynamic pigeon stretch,Dynamic_pigeon_stretch.jpg,Dynamic pigeon stretch,The dynamic pigeon stretch is a lower-body stretch targeting the glutes,['Dynamic pigeon stretch'],2,flexibility_mobility
Single-leg lying cross-over stretch,Singleleg_lying_crossover_stretch.jpg,Singleleg lying crossover stretch,The single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back,['Singleleg lying crossover stretch'],2,flexibility_mobility
Single-leg lying cross-over stretch,Singleleg_lying_crossover_stretch.jpg,Singleleg lying crossover stretch,The single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back,['Singleleg lying crossover stretch'],2,flexibility_mobility
Crunch - Hands Overhead,Crunch__Hands_Overhead.jpg,Crunch  Hands Overhead,No description available.,['Crunch  Hands Overhead'],2,weight_loss
FYR Bear Crawl Fire Feet,FYR_Bear_Crawl_Fire_Feet.jpg,FYR Bear Crawl Fire Feet,Bear crawl fire feet is a variation of the bear crawl that involves running in place while in a static bear crawl hold. It adds an extra coordination and full-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Fire Feet'],2,endurance_training
Single-kettlebell windmill,Singlekettlebell_windmill.jpg,Singlekettlebell windmill,The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting,['Singlekettlebell windmill'],2,strength_training
Lying cross-over lower back stretch,Lying_crossover_lower_back_stretch.jpg,Lying crossover lower back stretch,The lying cross-over lower back stretch is a simple bodyweight stretch targeting the lower back,['Lying crossover lower back stretch'],2,flexibility_mobility
FYR Bear Crawl Shoulder Tap,FYR_Bear_Crawl_Shoulder_Tap.jpg,FYR Bear Crawl Shoulder Tap,The bear crawl shoulder tap is a variation of the bear crawl that involves touching the opposing shoulder while in a static bear crawl hold. It adds an extra coordination and core challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Shoulder Tap'],2,endurance_training
FYR Bear Crawl Fire Feet,FYR_Bear_Crawl_Fire_Feet.jpg,FYR Bear Crawl Fire Feet,Bear crawl fire feet is a variation of the bear crawl that involves running in place while in a static bear crawl hold. It adds an extra coordination and full-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Fire Feet'],2,endurance_training
Bent-knee reverse crunch,Bentknee_reverse_crunch.jpg,Bentknee reverse crunch,The bent-knee reverse crunch is a popular bodyweight core exercise. It targets the lower portion of the rectus abdominis or six-pack muscles. It can be performed for time or reps as part of any ab-focused workout.,['Bentknee reverse crunch'],2,weight_loss
Ab Crunch Machine,Ab_Crunch_Machine.jpg,Ab Crunch Machine,The machine crunch is a machine-based exercise targeting the abdominal muscles. It involves sitting upright in the machine and curling the torso down toward the chest against some pre-set level of resistance. On some machines,['Ab Crunch Machine'],2,strength_training
Reverse crunch,Reverse_crunch.jpg,Reverse crunch,The reverse crunch is a popular exercise targeting the abdominals,['Reverse crunch'],2,weight_loss
Side plank,Side_plank.jpg,Side plank,The side plank is a popular isometric abdominal exercise focusing on the oblique muscles,['Side plank'],2,muscle_gain
Bear crawl up-down,Bear_crawl_updown.jpg,Bear crawl updown,The bear crawl up-down is a variation of the bear crawl that involves lowering the forearms to the ground in an alternating rhythm while in a static bear crawl hold. It adds an extra coordination and upper-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['Bear crawl updown'],2,endurance_training
Adductor SMR,Adductor_SMR.jpg,Adductor SMR,Adductor self-myofascial release (SMR) is a self-administered soft-tissue treatment for the lower body,['Adductor SMR'],2,muscle_gain
Hanging knee raise with manual resistance,Hanging_knee_raise_with_manual_resistance.jpg,Hanging knee raise with manual resistance,The hanging knee raise with manual resistance is a more advanced version of the hanging knee raise that utilizes a partner. The partner applies enough resistance to make the movement more difficult,['Hanging knee raise with manual resistance'],2,strength_training
Standing cable twist,Standing_cable_twist.jpg,Standing cable twist,The standing cable twist is a core exercise that targets the abdominals,['Standing cable twist'],2,muscle_gain
AM Hammer Curls,AM_Hammer_Curls.jpg,AM Hammer Curls,This curl is performed simultaneously with dumbbells but without wrist supination. Throughout each rep,['AM Hammer Curls'],2,muscle_gain
Lying cross-over lower back stretch,Lying_crossover_lower_back_stretch.jpg,Lying crossover lower back stretch,The lying cross-over lower back stretch is a simple bodyweight stretch targeting the lower back,['Lying crossover lower back stretch'],2,flexibility_mobility
Sprawl,Sprawl.jpg,Sprawl,The sprawl is an explosive bodyweight exercise that targets the core,['Sprawl'],2,muscle_gain
Single-leg lying cross-over stretch,Singleleg_lying_crossover_stretch.jpg,Singleleg lying crossover stretch,The single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back,['Singleleg lying crossover stretch'],2,flexibility_mobility
Seated bar twist,Seated_bar_twist.jpg,Seated bar twist,The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight such as an empty barbell a lightweight fixed-weight bar or even a PVC pipe. It can be performed during a workout at the end of a workout or outside of the gym to build core strength and resiliency.,['Seated bar twist'],2,strength_training
Standing torso twist stretch,Standing_torso_twist_stretch.jpg,Standing torso twist stretch,The standing torso twist stretch is a stretching exercise targeting the lats and core,['Standing torso twist stretch'],2,flexibility_mobility
Machine Preacher Curls,Machine_Preacher_Curls.jpg,Machine Preacher Curls,The machine preacher curl is an isolation exercise targeting the biceps.,['Machine Preacher Curls'],2,muscle_gain
Wall mountain climber,Wall_mountain_climber.jpg,Wall mountain climber,The wall mountain climber is a challenging exercise targeting the shoulders and abdominals. It's most common in bodyweight circuit training because it targets a lot of muscles as well as the cardiovascular system all at once. It can be performed for time or reps.,['Wall mountain climber'],2,endurance_training
FYR Bear Crawl Shoulder Tap,FYR_Bear_Crawl_Shoulder_Tap.jpg,FYR Bear Crawl Shoulder Tap,The bear crawl shoulder tap is a variation of the bear crawl that involves touching the opposing shoulder while in a static bear crawl hold. It adds an extra coordination and core challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Shoulder Tap'],2,endurance_training
FYR Bear Crawl Fire Feet,FYR_Bear_Crawl_Fire_Feet.jpg,FYR Bear Crawl Fire Feet,Bear crawl fire feet is a variation of the bear crawl that involves running in place while in a static bear crawl hold. It adds an extra coordination and full-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Fire Feet'],2,endurance_training
Chin-up crunch,Chinup_crunch.jpg,Chinup crunch,The chin-up crunch is an exercise targeting the core and overall upper-body strength. It combines a chin-up with a knee raise or crunch to give extra emphasis to the core.,['Chinup crunch'],2,strength_training
Dynamic pigeon stretch,Dynamic_pigeon_stretch.jpg,Dynamic pigeon stretch,The dynamic pigeon stretch is a lower-body stretch targeting the glutes,['Dynamic pigeon stretch'],2,flexibility_mobility
Kettlebell Windmill,Kettlebell_Windmill.jpg,Kettlebell Windmill,The single-kettlebell windmill is a dynamic kettlebell exercise emphasizing core strength and shoulder and hip mobility and stability. It is often used as a functional warm-up or for multi-directional strength work. It doesn't work as well in a metcon or conditioning setting,['Kettlebell Windmill'],2,strength_training
Standing cable high-to-low twist,Standing_cable_hightolow_twist.jpg,Standing cable hightolow twist,The standing cable high-to-low twist is a core exercise targeting the lower abdominals and the obliques. Take care to perform it with control,['Standing cable hightolow twist'],2,muscle_gain
Cardio Cycling Machine,Cardio_Cycling_Machine.jpg,Cardio Cycling Machine,At its most fundamental level cycling is simply getting on a bicycle and riding it. Any pedaling you do on that bike whether it's a few loops around the block or a century ride counts as physical activity. But what makes a bike ride an intense or easy workout for you of course depends on your fitness level,['Cardio Cycling Machine'],2,weight_loss
Exercise ball crunch,Exercise_ball_crunch.jpg,Exercise ball crunch,The exercise ball crunch is a popular gym exercise targeting the abdominals. Unlike crunches on the floor or a bench,['Exercise ball crunch'],2,weight_loss
Single-leg machine seated calf raise,Singleleg_machine_seated_calf_raise.jpg,Singleleg machine seated calf raise,The single-leg machine seated calf raise is an exercise targeting the calf muscles of the lower leg,['Singleleg machine seated calf raise'],2,muscle_gain
Hanging Windshield Wiper,Hanging_Windshield_Wiper.jpg,Hanging Windshield Wiper,The hanging windshield wiper is an advanced abdominal training exercise that is also extremely challenging to other muscles of the upper body,['Hanging Windshield Wiper'],2,muscle_gain
Elbow plank jack,Elbow_plank_jack.jpg,Elbow plank jack,The elbow plank jack is an isometric abdominal exercise with a dynamic lower-body component. It targets the muscles of the core,['Elbow plank jack'],2,muscle_gain
Partner resistance standing twist,Partner_resistance_standing_twist.jpg,Partner resistance standing twist,The partner resistance standing twist is a bodyweight exercise in which one partner performs bodyweight twists while the other provides manual resistance. It targets the muscles of the core,['Partner resistance standing twist'],2,strength_training
Smith machine V-up,Smith_machine_Vup.jpg,Smith machine Vup,The smith machine V-up is a weighted abdominal exercise that involves pressing a weighted bar upward while performing a V-up. Performing it in a Smith machine eliminates the balance challenge of a free weight. It is usually performed for moderate to high reps in the ab-focused portion of a workout.,['Smith machine Vup'],2,muscle_gain
Single-leg lying cross-over stretch,Singleleg_lying_crossover_stretch.jpg,Singleleg lying crossover stretch,The single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back,['Singleleg lying crossover stretch'],2,flexibility_mobility
Lying cross-over lower back stretch,Lying_crossover_lower_back_stretch.jpg,Lying crossover lower back stretch,The lying cross-over lower back stretch is a simple bodyweight stretch targeting the lower back,['Lying crossover lower back stretch'],2,flexibility_mobility
Bear crawl up-down,Bear_crawl_updown.jpg,Bear crawl updown,The bear crawl up-down is a variation of the bear crawl that involves lowering the forearms to the ground in an alternating rhythm while in a static bear crawl hold. It adds an extra coordination and upper-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['Bear crawl updown'],2,endurance_training
Dynamic pigeon stretch,Dynamic_pigeon_stretch.jpg,Dynamic pigeon stretch,The dynamic pigeon stretch is a lower-body stretch targeting the glutes,['Dynamic pigeon stretch'],2,flexibility_mobility
FYR Bear Crawl Shoulder Tap,FYR_Bear_Crawl_Shoulder_Tap.jpg,FYR Bear Crawl Shoulder Tap,The bear crawl shoulder tap is a variation of the bear crawl that involves touching the opposing shoulder while in a static bear crawl hold. It adds an extra coordination and core challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Shoulder Tap'],2,endurance_training
Bear crawl up-down,Bear_crawl_updown.jpg,Bear crawl updown,The bear crawl up-down is a variation of the bear crawl that involves lowering the forearms to the ground in an alternating rhythm while in a static bear crawl hold. It adds an extra coordination and upper-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['Bear crawl updown'],2,endurance_training
Bear crawl up-down,Bear_crawl_updown.jpg,Bear crawl updown,The bear crawl up-down is a variation of the bear crawl that involves lowering the forearms to the ground in an alternating rhythm while in a static bear crawl hold. It adds an extra coordination and upper-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['Bear crawl updown'],2,endurance_training
Standing torso twist stretch,Standing_torso_twist_stretch.jpg,Standing torso twist stretch,The standing torso twist stretch is a stretching exercise targeting the lats and core,['Standing torso twist stretch'],2,flexibility_mobility
Bear crawl up-down,Bear_crawl_updown.jpg,Bear crawl updown,The bear crawl up-down is a variation of the bear crawl that involves lowering the forearms to the ground in an alternating rhythm while in a static bear crawl hold. It adds an extra coordination and upper-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['Bear crawl updown'],2,endurance_training
Standing torso twist stretch,Standing_torso_twist_stretch.jpg,Standing torso twist stretch,The standing torso twist stretch is a stretching exercise targeting the lats and core,['Standing torso twist stretch'],2,flexibility_mobility
Standing torso twist stretch,Standing_torso_twist_stretch.jpg,Standing torso twist stretch,The standing torso twist stretch is a stretching exercise targeting the lats and core,['Standing torso twist stretch'],2,flexibility_mobility
FYR Bear Crawl Fire Feet,FYR_Bear_Crawl_Fire_Feet.jpg,FYR Bear Crawl Fire Feet,Bear crawl fire feet is a variation of the bear crawl that involves running in place while in a static bear crawl hold. It adds an extra coordination and full-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Fire Feet'],2,endurance_training
Exercise ball knee roll-in,Exercise_ball_knee_rollin.jpg,Exercise ball knee rollin,The exercise ball knee roll-in is an abdominal exercise that involves supporting yourself with your hands in a plank or push-up position and drawing the knees in toward the chest. This is a fairly advanced abdominal move requiring a fair amount of core strength.,['Exercise ball knee rollin'],2,strength_training
Ab wheel roll-out,Ab_wheel_rollout.jpg,Ab wheel rollout,The ab wheel roll-out is an exercise targeting the abdominals using an inexpensive wheel device with a handle on either side. Many trainers and strength coaches claim it's one of the best exercises for developing strength in the midsection. Beginners may have to start with a limited range of motion or just wheel planks.,['Ab wheel rollout'],2,strength_training
Decline leg lift with twist,Decline_leg_lift_with_twist.jpg,Decline leg lift with twist,The decline leg lift with twist is a bodyweight core exercise targeting the obliques and rectus abdominis or six-pack muscles,['Decline leg lift with twist'],2,muscle_gain
Bear crawl up-down,Bear_crawl_updown.jpg,Bear crawl updown,The bear crawl up-down is a variation of the bear crawl that involves lowering the forearms to the ground in an alternating rhythm while in a static bear crawl hold. It adds an extra coordination and upper-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['Bear crawl updown'],2,endurance_training
30 Hollow-Body Hold,30_HollowBody_Hold.jpg,30 HollowBody Hold,The hollow-body hold is an isometric exercise that increases strength and stability in the core muscles. It is common in gymnastics training,['30 HollowBody Hold'],2,strength_training
FYR Bear Crawl Shoulder Tap,FYR_Bear_Crawl_Shoulder_Tap.jpg,FYR Bear Crawl Shoulder Tap,The bear crawl shoulder tap is a variation of the bear crawl that involves touching the opposing shoulder while in a static bear crawl hold. It adds an extra coordination and core challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Shoulder Tap'],2,endurance_training
Lying oblique crunch,Lying_oblique_crunch.jpg,Lying oblique crunch,The lying oblique crunch is a bodyweight exercise targeting the oblique muscles. It can be performed for a specific number of reps or to fatigue or failure as part of the ab-focused portion of any workout.,['Lying oblique crunch'],2,weight_loss
30 Hanging Toes-To-Bar,30_Hanging_ToesToBar.jpg,30 Hanging ToesToBar,The hanging toes-to-bar is an advanced abdominal exercise in which the lifter touches their feet to a pull-up bar. There are many ways to perform this movement: strict or swinging,['30 Hanging ToesToBar'],2,muscle_gain
Lying Bent Leg Groin,Lying_Bent_Leg_Groin.jpg,Lying Bent Leg Groin,No description available.,['Lying Bent Leg Groin'],2,muscle_gain
Ab Roller,Ab_Roller.jpg,Ab Roller,The ab wheel roll-out is an exercise targeting the abdominals,['Ab Roller'],2,muscle_gain
Suspended crunch-,Suspended_crunch.jpg,Suspended crunch,The suspended crunch is an abdominal exercise performed with the feet in the stirrups of a suspension strap system. It targets the muscles of the core,['Suspended crunch'],2,weight_loss
FYR Bear Crawl Shoulder Tap,FYR_Bear_Crawl_Shoulder_Tap.jpg,FYR Bear Crawl Shoulder Tap,The bear crawl shoulder tap is a variation of the bear crawl that involves touching the opposing shoulder while in a static bear crawl hold. It adds an extra coordination and core challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Shoulder Tap'],2,endurance_training
Plank walk-out,Plank_walkout.jpg,Plank walkout,The plank walk-out is an advanced plank variation targeting the core and shoulders. From a standing position,['Plank walkout'],2,muscle_gain
Wall mountain climber,Wall_mountain_climber.jpg,Wall mountain climber,The wall mountain climber is a challenging exercise targeting the shoulders and abdominals. It's most common in bodyweight circuit training because it targets a lot of muscles as well as the cardiovascular system all at once. It can be performed for time or reps.,['Wall mountain climber'],2,endurance_training
30 Cable Rope Crunch,30_Cable_Rope_Crunch.jpg,30 Cable Rope Crunch,The kneeling cable crunch is a popular core isolation exercise using a rope attachment and cable stack while kneeling on the floor. It primarily targets the rectus abdominus or six-pack muscles,['30 Cable Rope Crunch'],2,weight_loss
Standing One-Arm Cable Curl,Standing_OneArm_Cable_Curl.jpg,Standing OneArm Cable Curl,The single-arm cable biceps curl is a single-joint isolation exercise for building the biceps. This move is intended to be strict and deliberate this is not an exercise for using momentum or otherwise cheating.,['Standing OneArm Cable Curl'],2,muscle_gain
Bear crawl up-down,Bear_crawl_updown.jpg,Bear crawl updown,The bear crawl up-down is a variation of the bear crawl that involves lowering the forearms to the ground in an alternating rhythm while in a static bear crawl hold. It adds an extra coordination and upper-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['Bear crawl updown'],2,endurance_training
Wall mountain climber,Wall_mountain_climber.jpg,Wall mountain climber,The wall mountain climber is a challenging exercise targeting the shoulders and abdominals. It's most common in bodyweight circuit training because it targets a lot of muscles as well as the cardiovascular system all at once. It can be performed for time or reps.,['Wall mountain climber'],2,endurance_training
Banded biceps curl in squat position,Banded_biceps_curl_in_squat_position.jpg,Banded biceps curl in squat position,The banded biceps curl in squat position is an exercise targeting the biceps,['Banded biceps curl in squat position'],2,muscle_gain
Exercise Ball Cable Crunch - Gethin Variation,Exercise_Ball_Cable_Crunch__Gethin_Variation.jpg,Exercise Ball Cable Crunch  Gethin Variation,The exercise ball crunch is a popular gym exercise targeting the abdominals. Unlike crunches on the floor or a bench,['Exercise Ball Cable Crunch  Gethin Variation'],2,weight_loss
Dynamic pigeon stretch,Dynamic_pigeon_stretch.jpg,Dynamic pigeon stretch,The dynamic pigeon stretch is a lower-body stretch targeting the glutes,['Dynamic pigeon stretch'],2,flexibility_mobility
Lateral box jump,Lateral_box_jump.jpg,Lateral box jump,The lateral box jump is a plyometric exercise targeting lateral agility and lower-body strength. It's a great move for athletes in many sports,['Lateral box jump'],2,strength_training
Standing torso twist stretch,Standing_torso_twist_stretch.jpg,Standing torso twist stretch,The standing torso twist stretch is a stretching exercise targeting the lats and core,['Standing torso twist stretch'],2,flexibility_mobility
Cardio Running Machine,Cardio_Running_Machine.jpg,Cardio Running Machine,a type of fitness equipment that simulates walking jogging or running. It consists of a moving belt that the user runs or walks on while the handlebars can provide support. The belt is powered by a motor and the speed and incline of the belt can be adjusted to change the intensity of the workout.,['Cardio Running Machine'],2,weight_loss
Single-leg lying cross-over stretch,Singleleg_lying_crossover_stretch.jpg,Singleleg lying crossover stretch,The single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back,['Singleleg lying crossover stretch'],2,flexibility_mobility
Bear crawl up-down,Bear_crawl_updown.jpg,Bear crawl updown,The bear crawl up-down is a variation of the bear crawl that involves lowering the forearms to the ground in an alternating rhythm while in a static bear crawl hold. It adds an extra coordination and upper-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['Bear crawl updown'],2,endurance_training
Wide mountain climber,Wide_mountain_climber.jpg,Wide mountain climber,The wide mountain climber is a popular bodyweight exercise targeting the muscles of the core,['Wide mountain climber'],2,muscle_gain
Barbell roll-out,Barbell_rollout.jpg,Barbell rollout,The barbell roll-out is an abdominal exercise that utilizes a barbell in the place of an ab roller. It is best performed with a barbell that has rotating collars and is considered more difficult than other ab roller variations. Many lifters may not be able to perform a single rep at first but once they can perform these for reps they'll be rewarded with a seriously strong core.,['Barbell rollout'],2,muscle_gain
Seated bar twist,Seated_bar_twist.jpg,Seated bar twist,The seated bar twist is a core exercise meant to strengthen the obliques. It is often performed for high reps with relatively light weight such as an empty barbell a lightweight fixed-weight bar or even a PVC pipe. It can be performed during a workout at the end of a workout or outside of the gym to build core strength and resiliency.,['Seated bar twist'],2,strength_training
Leg Raises,Leg_Raises.jpg,Leg Raises,The Hanging Leg Raise is an advanced core exercise that targets the lower abdominal muscles hip flexors and overall core stability. It is performed while hanging from a pull-up bar requiring both grip strength and core control.,['Leg Raises'],2,strength_training
Dynamic pigeon stretch,Dynamic_pigeon_stretch.jpg,Dynamic pigeon stretch,The dynamic pigeon stretch is a lower-body stretch targeting the glutes,['Dynamic pigeon stretch'],2,flexibility_mobility
Leg Extension,Leg_Extension.jpg,Leg Extension,The Leg Extension is an isolation exercise performed on a leg extension machine to specifically target the quadriceps (front thigh muscles). It is commonly used to strengthen the quads improve knee stability and enhance overall leg definition.,['Leg Extension'],2,strength_training
Russian Twist G,Russian_Twist_G.jpg,Russian Twist G,The Russian Twist is a core-strengthening exercise that primarily targets the obliques (side abs) while also engaging the rectus abdominis (six-pack muscles) and deep core stabilizers. It is commonly performed as a bodyweight movement but can be intensified using a medicine ball dumbbell or weighted plate.,['Russian Twist G'],2,strength_training
Deadlift,Deadlift.jpg,Deadlift,A full-body strength movement focusing on the back glutes and hamstrings.,['Deadlift'],2,muscle_gain
Mountain climber,Mountain_climber.jpg,Mountain climber,The mountain climber is a popular bodyweight exercise targeting the muscles of the core,['Mountain climber'],2,muscle_gain
Wall mountain climber,Wall_mountain_climber.jpg,Wall mountain climber,The wall mountain climber is a challenging exercise targeting the shoulders and abdominals. It's most common in bodyweight circuit training because it targets a lot of muscles as well as the cardiovascular system all at once. It can be performed for time or reps.,['Wall mountain climber'],2,endurance_training
FYR Bear Crawl Fire Feet,FYR_Bear_Crawl_Fire_Feet.jpg,FYR Bear Crawl Fire Feet,Bear crawl fire feet is a variation of the bear crawl that involves running in place while in a static bear crawl hold. It adds an extra coordination and full-body challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Fire Feet'],2,endurance_training
Kettlebell 3-point leg extension,Kettlebell_3point_leg_extension.jpg,Kettlebell 3point leg extension,The kettlebell 3-point leg extension is a dynamic core exercise performed around and over a kettlebell or other short stationary object. It is similar in some ways to a V-up or reverse crunch,['Kettlebell 3point leg extension'],2,muscle_gain
Single-leg lying cross-over stretch,Singleleg_lying_crossover_stretch.jpg,Singleleg lying crossover stretch,The single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back,['Singleleg lying crossover stretch'],2,flexibility_mobility
Bird dog-,Bird_dog.jpg,Bird dog,The bird dog is a core exercise designed to help strengthen and stabilize the posterior chain. It involves lifting an opposite-side arm and leg while in a bent-leg tabletop position. It is most commonly performed as part of a dynamic warm-up,['Bird dog'],2,strength_training
Single-leg lying cross-over stretch,Singleleg_lying_crossover_stretch.jpg,Singleleg lying crossover stretch,The single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back,['Singleleg lying crossover stretch'],2,flexibility_mobility
Ab Crunch Machine,Ab_Crunch_Machine.jpg,Ab Crunch Machine,The machine crunch is a machine-based exercise targeting the abdominal muscles. It involves sitting upright in the machine and curling the torso down toward the chest against some pre-set level of resistance. On some machines,['Ab Crunch Machine'],2,strength_training
Standing torso twist stretch,Standing_torso_twist_stretch.jpg,Standing torso twist stretch,The standing torso twist stretch is a stretching exercise targeting the lats and core,['Standing torso twist stretch'],2,flexibility_mobility
FYR Bear Crawl Shoulder Tap,FYR_Bear_Crawl_Shoulder_Tap.jpg,FYR Bear Crawl Shoulder Tap,The bear crawl shoulder tap is a variation of the bear crawl that involves touching the opposing shoulder while in a static bear crawl hold. It adds an extra coordination and core challenge to an already intense full-body movement that targets the cardiovascular system as well as a wide range of muscle groups. It can be done as a full-body warm-up,['FYR Bear Crawl Shoulder Tap'],2,endurance_training
Dynamic pigeon stretch,Dynamic_pigeon_stretch.jpg,Dynamic pigeon stretch,The dynamic pigeon stretch is a lower-body stretch targeting the glutes,['Dynamic pigeon stretch'],2,flexibility_mobility
Leg Extension G,Leg_Extension_G.jpg,Leg Extension G,The Leg Extension is an isolation exercise performed on a leg extension machine to specifically target the quadriceps (front thigh muscles). It is commonly used to strengthen the quads improve knee stability and enhance overall leg definition.,['Leg Extension G'],2,strength_training
BOSU cross-body crunch,BOSU_crossbody_crunch.jpg,BOSU crossbody crunch,The BOSU cross-body crunch is a dynamic abdominal exercise performed on a BOSU ball or other stability training device. It targets several of the muscles in the core,['BOSU crossbody crunch'],2,weight_loss
Leg Extension,Leg_Extension.jpg,Leg Extension,The Leg Extension is an isolation exercise performed on a leg extension machine to specifically target the quadriceps (front thigh muscles). It is commonly used to strengthen the quads improve knee stability and enhance overall leg definition.,['Leg Extension'],2,strength_training
Crunches,Crunches.jpg,Crunches,The crunch is a popular core exercise targeting the rectus abdominis,['Crunches'],2,weight_loss
Cable reverse crunch,Cable_reverse_crunch.jpg,Cable reverse crunch,The cable reverse crunch is performed on the ground facing away from a high pulley,['Cable reverse crunch'],2,weight_loss
Single-leg lying cross-over stretch,Singleleg_lying_crossover_stretch.jpg,Singleleg lying crossover stretch,The single-leg lying cross-over stretch is a simple bodyweight stretch targeting the lower back,['Singleleg lying crossover stretch'],2,flexibility_mobility
